Gene,Par_wo_RNA,Par_Ac_RNA,ATS_wo_RNA,ATS_Ac_RNA,Parwo_PARROT,ParAc_PARROT,ATSwo_PARROT,ATSAc_PARROT
PAPLA_03489,958.514737463455,1156.08568658081,461.784677453458,390.12577494518,1822.97293593175,179.526871816043,1790.46956424712,207.720989211886
PAPLA_03509,309.598113117311,347.888444642157,374.568827362467,412.844114717366,0,0,0,0
PAPLA_03531,280.615573938875,367.095592355422,670.319622290436,549.179990550091,0,0,0,0
PAPLA_03539,4789.40629258126,4721.5866118383,4616.9714375686,4262.94944278319,0,0.10787561979152,0,0.11603804889437
PAPLA_03544,1801.76603831019,303.302888902484,1254.57641211616,404.243753088901,0,0,0,0
PAPLA_03552,67.6534079702482,98.8488637537433,112.505517215128,106.984801699915,0,0,0,0
PAPLA_03565,835.019229795467,1509.9345253019,1340.82818535918,1922.61375124575,0,0,0,0
PAPLA_03572,1394.61813558613,1654.72489597243,1730.08129179768,1487.81172280771,10245.8786197664,1008.99213364949,10062.5534526378,1167.4475482489
PAPLA_03603,26962.5312757918,27738.067268028,27915.1590353291,26609.8496075685,38638.3410447447,17949.257443548,39551.3219599082,23851.8014221094
PAPLA_03608,3795.29470481275,2924.50807288839,2523.24097691886,2177.92862339659,1224.11246806147,120.549078723521,1202.28704758571,139.486748744391
PAPLA_03615,7148.28102738858,2831.41464708992,3262.7422882247,3268.7190822552,0,0,0,0
PAPLA_03631,3349.93558394577,3775.53501803622,5914.93386838192,5991.01869740683,0,17949.257443548,0,23851.8014221094
PAPLA_03645,2151.69641934178,1821.22580890809,2958.97160027627,2622.47786672715,10324.3200806041,7464.92783870661,10450.0374027018,9919.74052404094
PAPLA_03659,5060.72529953554,3695.48277340723,2605.22922898347,1967.35384100961,29.0853031767369,2.86432858985318,28.5667160078436,3.31416217579868
PAPLA_03667,2494.12856196466,1889.55530860186,1924.97878522644,1619.61594538267,295.966568903722,29.145962785743,290.682386875028,33.7232442022764
PAPLA_03678,340.041925088783,290.730701734057,170.633486424768,156.071928392499,825.369384044635,81.2798442940527,810.618550052864,94.0458759330085
PAPLA_03685,13546.4626611472,6528.7467316223,9831.91705532956,6450.91496046193,11247.2104652437,1814.57683409923,11699.9698030833,2173.81066307741
PAPLA_03690,4905.48282700445,4827.77407310543,3742.35751028568,4639.24345622041,0,0,0,0
PAPLA_03692,475.587139442837,725.010269642933,611.317539946276,665.238727824655,0.220856527333287,17949.257443548,0.23112890643944,23851.8014221094
PAPLA_03694,1896.53998616931,2388.69108689699,2931.93322985087,3249.97383950198,0,0,0,0
PAPLA_03698,664.74057794007,674.162375239824,775.947404232054,924.471107652433,0,1220.36692729745,0,1312.70622085405
PAPLA_03717,576.99976381931,450.965943017048,499.359362468845,426.156652371,0,0,0,0
PAPLA_03730,24204.7783469019,18612.314611435,13562.9143640978,10908.9747862294,0,0,0,0
PAPLA_03734,3940.57455490071,4238.99699675654,2967.08117482805,2367.88632548192,8570.57773983292,844.003504561166,8417.69605171068,976.540176609689
PAPLA_03750,843.875399697354,681.985495492211,512.348318698338,460.971715229638,8.07873004396242E-06,17949.257443548,8.48951292755373E-06,23851.8014221094
PAPLA_03752,1240.72889788685,1262.16417782676,1463.23618924391,1404.8752131423,0,0,0,0
PAPLA_03755,2603.46501093076,4310.93407023065,4693.74029489357,5853.51818365399,0,0,0,0
PAPLA_03757,4712.88925479585,3927.12056136315,8453.03413182786,7632.82306348899,42333596.5047892,17949.257443548,44008027.5812953,23851.8014221094
PAPLA_03759,4026.50081588958,3335.82472088332,3045.15909617983,2691.08266086986,13.0307424210925,1.28322753151082,12.7978596771316,1.48477470977535
PAPLA_03769,904.449735413457,897.698982487972,1216.12616132441,1165.53366217799,0,0,0,0
PAPLA_03770,5176.98054456206,5128.04901000311,5511.34200021554,5599.28662683819,0,0,0,0
PAPLA_03777,4288.81152770345,4388.75095880716,4465.30487917795,4955.07914231424,0,0,0,0
PAPLA_03783,540.893250500622,222.151511650417,735.382705943023,339.214643639336,0,0,0,0
PAPLA_03795,3471.32239433104,2821.12073540734,1842.74331815855,2476.37005535862,0,0,0,0
PAPLA_03797,3791.7606199485,4353.80054001011,3766.99023750045,3515.46595230988,0.719647042109105,0.0830271890331381,0.753119000740403,0.0893094569394704
PAPLA_03809,7023.36398200205,6062.77832496138,5628.85669121808,5717.90653911821,0,0,0,0
PAPLA_03818,1459.92323273025,463.028250203171,458.809506145662,250.945406620726,0,0,0,0
PAPLA_03829,947.170148866935,955.778827016522,1341.06785630829,1243.30957730178,11872.1515053251,1169.1649098915,11660.3527054531,1352.73137154223
PAPLA_03832,2161.76359665362,1621.78027165979,2270.39576068746,2274.43361917788,0,0,0,0
PAPLA_03853,1034.67954951892,1348.15515399332,1258.46039651852,1198.38139139311,0,0,0,0
PAPLA_03860,6649.63389178845,3300.78254279059,3243.01819010694,2703.95489241218,18154.9415325547,2851.06178931514,18818.120478442,3407.07629058252
PAPLA_03864,20494.6745112512,19843.259060878,20534.6829754342,19843.1447694296,775.113972125222,17949.257443548,944.156418100383,23851.8014221094
PAPLA_03876,2717.61440232136,1651.60624689201,1647.64760716889,1660.45374538605,0,0,0,0
PAPLA_03893,2913.11294631267,2558.1611656854,1247.75078871679,1373.87782417341,0,0,0,0
PAPLA_03899,655.717712813706,626.533105077256,865.48094242214,788.611704915385,0,17949.257443548,0,23851.8014221094
PAPLA_03913,1153.15081858804,1633.05530429273,1590.03845017262,1666.2375935074,98.4925761924478,17.394946048776,95.3552318462722,8.46079359476625
PAPLA_03918,8054.44761983274,8200.79176002956,5415.7840863837,5766.27155895225,0,1522.54150718776,0,1660.96404226255
PAPLA_03939,326.67139489459,468.531652076847,328.55892527696,377.048143688758,0,17949.257443548,0,23851.8014221094
PAPLA_03964,2786.37114365766,2316.40828307682,2897.64360501205,3304.63157881501,0,12804.4945745852,0,17015.3253627566
PAPLA_03969,10120.3167447003,3901.84794969877,7006.7815351035,4556.25363224886,0,0.637895351372359,0,0.686161823358128
PAPLA_03979,7803.36221562788,7562.18915482664,6030.29033514629,6590.966541647,315.728712055724,39.4444533965617,329.357853199873,44.2191844159771
PAPLA_03982,5412.5688783375,3117.19972104308,2445.37212410662,2148.93820258301,244321.551945657,28187.8888171679,255685.345059399,30320.7307370922
PAPLA_04028,2798.91388892557,449.053045212294,1234.08542639046,795.716322637889,0,0,0,0
PAPLA_04031,11825.0224026639,9630.07040776982,10233.2880972803,8954.90405497852,0,0,0,0
PAPLA_04047,3506.24099395261,3248.74580948282,4198.64649170138,3252.51490851519,0,17949.2574435471,0,23851.8014221094
PAPLA_04072,11127.8813242212,3562.53189268209,7312.60173726791,5142.01200332631,0,0,0,0
PAPLA_04074,1382.6091887077,891.66111824608,1075.18291971631,685.922421651879,0,0,0,0
PAPLA_04079,5092.37896224651,6486.78202818984,5960.32911203073,7509.89623081117,0,0,0,0
PAPLA_04090,1090.75948462312,912.000832735955,1512.58955195652,1409.10506356126,0,0,0,0
PAPLA_04093,4966.86645986494,2833.10279810114,2689.91322937877,2168.69925618972,486.664920936799,47.9268769683689,477.978027244462,55.4525478739952
PAPLA_04096,652.816200842094,1059.0776129114,269.558776366895,196.773586462194,0,17949.257443548,0,23851.8014221094
PAPLA_04097,408.33766101155,457.810921523019,83.5508362992562,64.3149101871262,0,0,0,0
PAPLA_04098,685.111167256382,595.594590914965,296.179022123081,171.367325383454,0,17949.257443548,0,23851.8014221094
PAPLA_04110,8746.24578439336,2744.46155515551,8206.46572413251,8663.27093599247,0,17949.257443548,0,23851.8014221094
PAPLA_04117,8976.4680155629,6356.71438147306,4121.98655798341,2862.0371153253,5772.14679134625,665.944656551825,6040.61873601505,716.333484500452
PAPLA_04129,20234.6635632029,15822.5308987564,20306.4270731331,15337.44576825,0,658.043502887395,0,707.834488554872
PAPLA_04134,761.008589686045,1433.51025981707,1329.89274158011,1354.1190219583,0,0,0,0
PAPLA_04156,1226.82919929604,2214.52554221705,2702.02837879312,3304.34142678571,0,0,0,0
PAPLA_04157,7768.09580968705,7725.5892960356,8577.04260786961,2854.36480785611,0,0,0,0
PAPLA_04162,191.938478945755,133.152304229763,154.026646678921,133.741928232187,0,0,0,0
PAPLA_04166,1422.25942559715,1242.50109562719,1588.66040356134,1586.75061990628,85907.3794646262,0,87983.7211352418,0
PAPLA_04177,5871.70952562324,5340.91354299538,4633.88925373143,4592.86845731127,5410.73917031162,532.836044089475,5314.1207057881,616.52371536874
PAPLA_04187,3683.41381327601,4070.53668360653,3442.03247536511,3450.0577133392,0,17949.257443548,0,23851.8014221094
PAPLA_04196,2.25740453622816,0.665496008810267,1.66913577236804,2.14760436922296,0,0,0,0
PAPLA_04198,195.476722306714,117.681787765365,317.339494710672,252.971037508007,0,0,0,0
PAPLA_04204,36782.4745756865,15805.0864101536,21639.5914816093,17428.9536207246,0,17949.257443548,0,23851.8014221094
PAPLA_04219,1001.52697607431,1743.86890280284,1096.42335560698,1154.29631800137,0,0,0,0
PAPLA_04226,10515.1130831628,7220.65286884489,10545.0084699451,9472.15537434169,0,17949.257443548,0,23851.8014221094
PAPLA_04279,2736.80257769059,2500.50012503942,2667.284566138,3094.0064124863,0,17949.257443548,0,23851.8014221094
PAPLA_04291,4801.62947630906,2295.08365995699,1725.64124097949,1632.40474789577,0,0,0,0
PAPLA_04295,1759.25069931398,2329.41812479293,3763.87529967075,7699.30875491648,0,17949.257443548,0,23851.8014221094
PAPLA_04298,5783.13021054477,5040.63762871727,5207.69868406024,4752.02364405102,0,0,0,0
PAPLA_04309,11185.0532099489,3832.44284030063,7024.4406461572,4656.60394628929,0,0,0,0
PAPLA_04311,9273.09578234996,7537.90467073499,8044.59141981668,6312.76654248657,1681178.71794384,199776.886326229,1747045.80462697,225546.358544373
PAPLA_04325,8005.67876707552,7475.30411487148,4328.78972081793,4462.16227175977,0,0,0,0
PAPLA_04327,1711.81845009358,1625.02729077259,1232.56614818935,1116.66985344705,647.182616617868,63.7342949394503,635.636899575539,73.7409919493055
PAPLA_04340,625.209507596101,530.842255908049,2185.39340024152,2042.06902376175,0,0,0,0
PAPLA_04347,20152.1429840436,7003.88714672522,13850.1889965149,9083.50093515421,0,17949.257443548,0,23851.8014221094
PAPLA_04351,3095.25475965449,1560.00299056226,1369.57186078703,1155.46396315348,0.164946922962091,17949.257443548,0.172618841023671,23851.8014221094
PAPLA_04356,3163.32237744236,2713.58785497002,2763.0423824974,2663.04155775501,0,0,0,0
PAPLA_04370,4323.71421156403,2015.83349740037,4699.85889362763,3886.33676150964,0,17949.257443548,0,23851.8014221094
PAPLA_04381,270.518167784015,282.726559100639,299.480212284744,269.039674557231,175.486927116905,17.2950132821258,172.420489236615,20.0013775263017
PAPLA_04388,4080.24298329767,1388.61144956413,1647.48546680743,894.637749496045,389.419130838815,38.3499960948554,382.474209135915,44.3720991959401
PAPLA_04398,3178.80682644908,2854.81622666276,3186.89410477749,2827.865603627,0,0,0,0
