log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
-1.68388066946443,-1.47863335254607,5.83920003828885e-13,1.89893839479023e-12,gene_5828
-1.66046322493495,-1.68896465992771,1.75444708745026e-43,1.30862367698828e-19,gene_5879
-3.7490630364959,-3.00136658939622,1.31985713556455e-69,1.41580189597218e-40,gene_5881
-2.38922401426676,-1.2185483705865,5.45811335534665e-212,1.70249823043413e-42,gene_5905
-2.68535307064599,-2.10127070105559,1.05765431266696e-109,4.72557816939549e-22,gene_5911
-1.48687995681152,-1.01664901543802,6.99901047031548e-45,3.27940580280591e-16,gene_5933
-2.50646667327863,-2.00831357180109,8.90879788800706e-259,6.70430905743624e-76,gene_6008
-1.1979753565699,-1.06184012952606,1.40107528741814e-61,1.15506358015299e-24,gene_6023
-2.64345721535521,-2.10732780126797,7.07735325259903e-210,9.75201266339499e-68,gene_6062
-2.95541381741678,-2.92251671078736,2.24708344545698e-166,5.57591578357497e-71,gene_6098
-4.46527132320005,-2.08389512976706,0.0,4.75981399473801e-67,gene_6158
-1.42884872635876,-1.30856265356778,2.86646901144388e-105,1.9246488282531e-118,gene_6196
-1.53705791185232,-1.07973651372587,5.17303003338045e-131,7.50727171624471e-48,gene_6210
-2.82658081448085,-2.0299658919263,1.54360657190304e-276,7.57678212037017e-69,gene_6227
-1.6948331849877,-1.03998300363909,3.67214302810785e-45,1.10785205840843e-10,gene_6262
-1.634863163546,-1.2963011357896,2.37924388926739e-40,1.83815425859386e-19,gene_6310
-1.6449509767968,-1.72298915832623,1.11639224649948e-137,2.56860227871932e-200,gene_6380
-1.72381123092863,-1.38619243299839,9.27192031602595e-25,8.28654001038475e-86,gene_64
-1.76897833216479,-1.02322305887923,7.26961062224595e-143,3.02694063166975e-19,gene_6439
-2.0579421382496,-1.65664051623082,2.57185755879197e-149,7.61420758458895e-60,gene_644
-1.72332880181982,-1.21821600508709,1.04102532070437e-44,1.59973006580577e-18,gene_645
-1.53520780327807,-1.07475547012914,2.1366076797343e-110,1.29109182443439e-20,gene_6467
-2.50394598338474,-1.73947210925888,0.0,2.08272552770743e-20,gene_6503
-2.02032391627842,-1.71051043753945,5.32718545917265e-124,9.56044399980223e-39,gene_6523
-1.55892829676399,-1.00311476399897,3.36607688816485e-81,1.00301596138496e-22,gene_6544
-2.48599060779701,-1.93801945146621,3.36149235874596e-161,1.28697239677521e-50,gene_657
-1.87892838107452,-1.48796932842435,1.79494476676455e-117,5.66375654856314e-35,gene_6611
-1.55593363811,-1.0505166010277,1.09915748657295e-123,1.61264409895806e-53,gene_6615
-1.30072166121155,-1.18368777213509,1.83782318502046e-33,5.96283658989202e-14,gene_6642
-2.26306631564165,-1.11304822449827,1.27729064737415e-21,0.002451943451339,gene_6654
-1.90480771614995,-1.54257016019516,2.02046372647968e-70,3.09130121601042e-22,gene_6682
-2.029386967204,-1.04462700993537,1.01574863554882e-162,7.1007529040396e-24,gene_670
-1.53893211148745,-1.13079591601791,8.24814521765341e-67,1.55138552467464e-16,gene_6796
-1.92806739494875,-1.60836067901151,6.39659744453103e-109,3.22614432368873e-41,gene_6837
-2.21578755269605,-1.34472371056649,0.0,1.12576623143335e-172,gene_6841
-2.47988678636728,-1.95546352196903,6.55442299803621e-83,3.40943848319817e-51,gene_6919
-2.29426671858489,-2.12979283190251,7.70116409141482e-144,3.89439783288913e-71,gene_6954
