Gene	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_913	1404	1281	1059
gene_914	10142	11352	10392
gene_915	545	656	587
gene_917	421	456	396
gene_918	1231	1311	1212
gene_919	1316	1527	1330
gene_920	5623	6112	5684
gene_921	722	846	820
gene_922	5830	5777	5192
gene_923	465	597	579
gene_924	2126	2483	2349
gene_925	5	4	0
gene_926	1259	1222	1184
gene_927	6411	6682	6709
gene_928	177	166	225
gene_929	6410	7725	7238
gene_930	2081	2086	2175
gene_931	589	557	558
gene_932	901	996	948
gene_933	2718	2920	2782
gene_934	6740	6800	6217
gene_935	3387	3998	3439
gene_936	0	0	2
gene_937	0	0	0
gene_938	0	5	1
gene_940	131	146	141
gene_941	5182	6458	5841
gene_942	875	902	905
gene_943	1546	1665	1492
gene_945	941	870	922
gene_946	1561	1619	1515
gene_947	10278	10814	9810
gene_948	34182	37612	34598
gene_949	353	306	312
gene_950	248	230	201
gene_951	3837	3951	3730
gene_952	17	17	18
gene_953	4162	4461	4400
gene_954	2346	2371	2398
gene_955	65	81	66
gene_956	3431	3663	3115
gene_957	61	37	45
gene_958	3767	3898	3875
gene_959	2222	1936	1949
gene_960	714	788	815
gene_961	13048	14634	14195
gene_962	38	10	34
gene_963	2820	3224	3131
gene_964	1276	1414	1129
gene_965	234	225	192
gene_966	0	0	0
gene_967	0	0	0
gene_968	8	8	7
gene_969	399	442	381
gene_970	668	674	631
gene_971	1474	1351	1385
gene_972	2782	2465	2583
gene_973	71	43	48
gene_974	1719	1772	1631
gene_976	2865	3372	2946
gene_977	4	8	22
gene_978	213	132	160
gene_979	254	228	237
gene_980	6125	6424	5626
gene_983	615	688	548
gene_985	2995	3025	3185
gene_986	1048	1357	1201
gene_987	1227	1386	1404
gene_988	14874	16047	14840
gene_989	4615	4657	4661
gene_990	3392	3732	3620
gene_991	14	10	16
gene_992	60	17	27
gene_993	5109	5888	5341
gene_994	84	87	80
gene_995	2318	2784	2647
gene_996	7174	8026	7379
gene_997	2191	2667	2251
gene_998	1611	1749	1755
gene_999	2089	1928	1953
gene_1000	1190	1614	1385
gene_1001	3586	4035	3771
gene_1002	2202	2363	2296
gene_1003	1150	1191	946
gene_1004	541	560	520
gene_1005	3666	4006	3526
gene_1006	1739	1936	1829
gene_1007	3587	4211	3861
gene_1008	231	230	219
gene_1009	285	343	222
gene_1010	0	0	2
gene_1011	38	67	26
gene_1012	52	41	22
gene_1013	3980	3346	3567
gene_1014	750	699	768
gene_1015	8445	9465	8474
gene_1016	240	291	256
gene_1017	783	995	949
gene_1018	220	267	167
gene_1019	3816	4518	3988
gene_1020	56	96	47
gene_1021	5326	5142	5064
gene_1022	1801	1754	1644
gene_1023	1531	1735	1481
gene_1024	1145	1233	1232
gene_1025	2820	3070	2837
gene_1029	2564	2717	2449
gene_1030	2524	2745	2544
gene_1031	2671	3011	2552
gene_1032	982	1089	1027
gene_1033	1253	1399	1322
gene_1034	1291	1098	941
gene_1035	8284	8929	8831
gene_1036	2434	2627	2480
gene_1037	1138	1519	1229
gene_1038	1219	1526	1276
gene_1039	3675	3587	3335
gene_1040	2	14	8
gene_1041	719	961	762
gene_1042	437	524	384
gene_1043	207	244	217
gene_1044	505	634	497
gene_1045	1325	1235	1176
gene_1046	649	679	722
gene_1047	0	1	0
gene_1048	2	0	4
gene_1049	1876	1977	1911
gene_1051	23469	24951	22830
gene_1052	93	83	94
gene_1053	560	563	514
gene_1054	44	24	20
gene_1055	584	614	554
gene_1056	18337	20127	18985
gene_1057	115	132	120
gene_1058	3201	3777	3338
gene_1059	5022	5560	5191
gene_1060	813	1027	924
gene_1061	395	471	495
gene_1062	237	283	287
gene_1063	1127	1332	1290
gene_1064	312	343	316
gene_1067	1958	1930	1904
gene_1068	244	273	284
gene_1069	2219	2276	2349
gene_1070	140	177	139
gene_1071	600	685	548
gene_1072	2379	2764	2661
gene_1073	2837	3100	2780
gene_1074	1927	2171	1740
gene_1075	1247	1357	1253
gene_1076	334	308	270
gene_1077	1491	1588	1521
gene_1078	579	527	487
gene_1079	1437	1875	1580
gene_1080	933	1093	986
gene_1081	597	523	560
gene_1082	950	890	901
gene_1083	6761	7756	6850
gene_1084	2734	3424	2952
gene_1085	503	541	571
gene_1086	468	479	501
gene_1087	13912	15260	12809
gene_1088	1212	1227	1148
gene_1090	368	435	320
gene_1091	45	28	13
gene_1092	1998	2177	1961
gene_1093	4006	4236	3816
gene_1094	709	688	736
gene_1095	5751	6374	5869
gene_1096	12112	13153	11502
gene_1097	2909	2968	2878
gene_1098	2708	3159	2623
gene_1099	2494	2370	2223
gene_1100	4536	4698	4248
gene_1101	628	757	706
gene_1102	121	104	73
gene_1103	103	86	79
gene_1104	2002	2196	1844
gene_1105	1767	1850	1499
gene_1106	1261	1388	1085
gene_1107	1975	2246	2182
gene_1108	1180	1347	1259
gene_1110	2153	2653	2312
gene_1111	585	677	619
gene_1112	1184	1585	1260
gene_1113	2453	2756	2633
gene_1114	982	1060	973
gene_1116	177	208	167
gene_1117	670	715	699
gene_1118	9944	11444	10545
gene_1119	1389	1609	1362
gene_1120	4563	4941	5011
gene_1121	14026	15631	13686
gene_1122	1262	1220	1142
gene_1123	1617	1764	1812
gene_1124	1741	1962	1654
gene_1125	400	333	302
gene_1126	1808	1990	1778
gene_1127	625	634	684
gene_1128	4744	4939	4293
gene_1129	2344	2555	2302
gene_1130	943	938	965
gene_1131	4235	4533	4190
gene_1132	3848	4589	3891
gene_1133	1855	1902	1937
gene_1134	1761	1677	1608
gene_1135	1255	1543	1509
gene_1136	1030	1317	1027
gene_1137	1222	1075	1027
gene_1138	1258	1459	1388
gene_1139	1032	1104	1113
gene_1140	11471	13214	12176
