Gene	Par_Ac_1	Par_Ac_2	Par_Ac_3
gene_1083	8662	9420	7704
gene_1084	3759	3743	3428
gene_1085	1561	1620	1236
gene_1086	689	640	506
gene_1087	16207	16992	14207
gene_1088	2070	2211	1742
gene_1090	576	556	512
gene_1091	42	24	49
gene_1092	2236	2335	2076
gene_1093	3270	3320	2815
gene_1094	1594	1654	1680
gene_1095	4364	4625	3767
gene_1096	23650	24388	21857
gene_1097	2266	2401	1986
gene_1098	3075	3335	2580
gene_1099	1954	2139	1644
gene_1100	5746	6350	4911
gene_1101	1159	1126	1158
gene_1102	130	102	120
gene_1103	134	100	93
gene_1104	1982	2343	1968
gene_1105	1062	1199	1153
gene_1106	872	982	760
gene_1107	2072	2423	1924
gene_1108	1288	1576	1177
gene_1110	2837	2877	2533
gene_1111	744	895	671
gene_1112	2779	2905	2513
gene_1113	1981	2002	1595
gene_1114	711	793	586
gene_1116	506	452	374
gene_1117	731	747	670
gene_1118	12966	13270	10113
gene_1119	1751	1848	1576
gene_1120	6803	6761	6089
gene_1121	20736	20235	19794
gene_1122	2082	1840	1968
gene_1123	2925	2530	2478
gene_1124	572	582	529
gene_1125	296	230	215
gene_1126	2067	1955	1991
gene_1127	971	1271	966
gene_1128	8323	8759	7802
gene_1129	1924	2150	1605
gene_1130	413	388	303
gene_1131	2508	2579	1989
gene_1132	2890	2743	2394
gene_1133	2313	2167	2544
gene_1134	1754	1845	1494
gene_1135	1808	1910	1644
gene_1136	802	795	691
gene_1137	730	842	663
gene_1138	1793	1744	1521
gene_1139	1553	1575	1459
gene_1140	20927	21258	17750
gene_1141	4	11	6
gene_1142	0	0	0
