Gene	ATS_wo_1	ATS_wo_2	ATS_wo_3
gene_988	20610	24935	22877
gene_989	5466	5866	5559
gene_990	4468	4513	4487
gene_991	8	23	6
gene_992	67	32	70
gene_993	5703	6451	6395
gene_994	81	56	75
gene_995	2286	2924	2606
gene_996	9044	11043	9904
gene_997	3160	3579	3376
gene_998	1758	2107	1852
gene_999	2027	2074	2164
gene_1000	2138	2568	2337
gene_1001	3768	4299	4052
gene_1002	2423	2370	2396
gene_1003	1643	1819	2208
gene_1004	728	939	743
gene_1005	4530	5058	4679
gene_1006	2085	2134	2286
gene_1007	4871	4994	5122
gene_1008	206	255	248
gene_1009	151	187	223
gene_1010	0	0	0
gene_1011	74	112	89
gene_1012	39	48	41
gene_1013	3449	3059	3814
gene_1014	906	969	834
gene_1015	9776	11063	10060
gene_1016	286	422	343
gene_1017	939	1238	1018
gene_1018	556	741	711
gene_1019	4869	5805	5157
gene_1020	57	96	118
gene_1021	6679	5867	6756
gene_1022	1941	2058	2544
gene_1023	1233	1469	1227
gene_1024	1414	1652	1773
gene_1025	2867	3209	3050
gene_1029	2677	2971	3175
gene_1030	2006	2276	2174
gene_1031	2181	2718	2492
gene_1032	1276	1468	1258
gene_1033	1731	1644	1681
gene_1034	1155	1343	1389
gene_1035	9582	10420	9755
gene_1036	2458	2936	2937
gene_1037	1429	1570	1684
gene_1038	1100	1472	1404
gene_1039	4089	4832	4343
gene_1040	14	4	0
gene_1041	1159	1357	1256
gene_1042	587	707	735
gene_1043	291	266	219
gene_1044	584	756	710
gene_1045	1613	1754	1675
gene_1046	1076	1278	1167
gene_1047	3	2	0
gene_1048	6	0	0
gene_1049	1403	1438	1519
gene_1051	35067	34973	37489
gene_1052	83	85	93
gene_1053	354	463	384
gene_1054	21	68	29
gene_1055	751	851	756
gene_1056	18513	19470	19205
gene_1057	170	129	191
gene_1058	3413	3918	3348
gene_1059	7238	6513	7845
gene_1060	840	1051	917
gene_1061	1248	1423	1407
gene_1062	662	743	692
gene_1063	1258	1388	1415
gene_1064	372	364	469
gene_1067	2304	2781	2641
gene_1068	272	313	282
gene_1069	2203	1894	2139
gene_1070	129	145	157
gene_1071	488	558	552
gene_1072	2007	2449	2195
gene_1073	2981	3390	3064
gene_1074	2377	2383	2767
gene_1075	1498	1694	1633
gene_1076	358	356	290
gene_1077	1463	1710	1625
gene_1078	615	588	564
gene_1079	1447	1833	1639
gene_1080	1155	1396	1271
gene_1081	749	692	807
gene_1082	1423	1646	1469
gene_1083	9051	10567	10359
gene_1084	4533	4917	5008
gene_1085	1148	1432	1470
gene_1086	427	633	446
gene_1087	15762	18978	16790
gene_1088	1055	1164	1110
gene_1090	509	600	584
gene_1091	45	50	45
gene_1092	2231	2818	2257
gene_1093	3839	4192	3974
gene_1094	1196	1167	1302
gene_1095	5924	7284	6131
gene_1096	20170	24147	21488
gene_1097	2638	3193	2729
gene_1098	2417	2893	2823
gene_1099	2757	3181	3117
gene_1100	5157	6475	6088
gene_1101	946	1103	1024
gene_1102	134	160	123
gene_1103	114	133	118
gene_1104	2560	2762	2570
gene_1105	1910	2167	2169
gene_1106	1250	1484	1306
gene_1107	2450	3164	2864
gene_1108	1443	1864	1770
gene_1110	2379	2509	2573
gene_1111	551	711	605
gene_1112	1719	1722	1875
gene_1113	2793	3171	3081
gene_1114	1229	1491	1425
gene_1116	337	455	394
gene_1117	845	944	837
gene_1118	15242	17993	17408
gene_1119	1556	1942	1701
gene_1120	4173	4740	4978
gene_1121	20092	18862	21348
gene_1122	1680	1906	1670
gene_1123	1933	2027	2028
gene_1124	2146	2493	2283
gene_1125	390	455	453
gene_1126	2105	2302	2314
gene_1127	1021	1374	1533
gene_1128	8344	10165	10086
gene_1129	1881	2239	2225
gene_1130	941	1136	995
