Rxn	mean_Par_wo	mean_Par_Ac	mean_ATS_wo	mean_ATS_Ac	norm_Par_wo	norm_Par_Ac	norm_ATS_wo	norm_ATS_Ac
r_2281	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2282	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2283	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2284	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2285	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2286	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2287	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2288	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2289	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2290	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2291	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2292	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2293	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2294	34738.04354927971	35335.980981526125	39089.773891342724	35862.66931343361	0.8886734327458774	0.9039699508047562	1.0	0.9174437645283022
r_2303	1995.1183362476102	4396.736490272873	3571.9630608716834	3758.8866425891533	0.4537725516781625	1.0	0.812412358296687	0.854926523548803
r_2304	1995.1183362476102	4396.736490272873	3571.9630608716834	3758.8866425891533	0.4537725516781625	1.0	0.812412358296687	0.854926523548803
r_2305	34057.286524983734	10669.371005347686	25673.057154864433	10862.547158033467	1.0	0.3132771895236237	0.7538198069899432	0.3189492841734447
r_2316	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2320	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2322	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2328	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2330	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2340	8111.591972870649	8118.117459356927	8201.077813565076	8162.764378274944	0.9890885268096821	0.989884213259027	1.0	0.9953282439014589
